NoClstr,NoClase,NoSeq
76,0,10
88,1,10
98,2,10
182,3,10
191,4,10
197,5,10
208,6,10
248,7,10
264,8,10
277,9,10
297,10,10
330,11,10
353,12,10
394,13,10
401,14,10
470,15,10
475,16,10
489,17,10
494,18,10
496,19,10
500,20,10
550,21,10
587,22,10
606,23,10
624,24,10
669,25,10
671,26,10
778,27,10
826,28,10
899,29,10
903,30,10
956,31,10
972,32,10
977,33,10
1090,34,10
1127,35,10
1145,36,10
1193,37,10
1238,38,10
1258,39,10
1285,40,10
1291,41,10
1299,42,10
1302,43,10
1329,44,10
1384,45,10
1396,46,10
1472,47,10
1533,48,10
1555,49,10
1714,50,10
16,51,11
37,52,11
79,53,11
89,54,11
127,55,11
180,56,11
201,57,11
227,58,11
262,59,11
332,60,11
362,61,11
441,62,11
452,63,11
479,64,11
504,65,11
506,66,11
514,67,11
594,68,11
597,69,11
659,70,11
720,71,11
779,72,11
885,73,11
992,74,11
1105,75,11
1161,76,11
1167,77,11
1197,78,11
1317,79,11
1320,80,11
1365,81,11
1397,82,11
1447,83,11
1482,84,11
1518,85,11
1530,86,11
1684,87,11
1699,88,11
86,89,12
116,90,12
123,91,12
126,92,12
156,93,12
158,94,12
168,95,12
174,96,12
178,97,12
193,98,12
210,99,12
236,100,12
242,101,12
250,102,12
283,103,12
368,104,12
447,105,12
474,106,12
523,107,12
562,108,12
638,109,12
731,110,12
910,111,12
911,112,12
922,113,12
949,114,12
1098,115,12
1114,116,12
1421,117,12
1453,118,12
1454,119,12
1469,120,12
1607,121,12
1,122,13
92,123,13
97,124,13
153,125,13
162,126,13
172,127,13
203,128,13
211,129,13
350,130,13
422,131,13
604,132,13
653,133,13
786,134,13
930,135,13
987,136,13
1091,137,13
1118,138,13
1180,139,13
1205,140,13
1295,141,13
1342,142,13
1427,143,13
1438,144,13
1455,145,13
1501,146,13
1633,147,13
1725,148,13
112,149,14
117,150,14
133,151,14
214,152,14
245,153,14
324,154,14
382,155,14
396,156,14
451,157,14
600,158,14
788,159,14
869,160,14
1083,161,14
1108,162,14
1125,163,14
1172,164,14
1278,165,14
1316,166,14
1377,167,14
1440,168,14
1704,169,14
108,170,15
200,171,15
260,172,15
359,173,15
397,174,15
439,175,15
459,176,15
493,177,15
724,178,15
918,179,15
962,180,15
1126,181,15
1312,182,15
1318,183,15
1517,184,15
149,185,16
235,186,16
300,187,16
497,188,16
521,189,16
540,190,16
644,191,16
880,192,16
919,193,16
1122,194,16
1129,195,16
12,196,17
139,197,17
150,198,17
490,199,17
531,200,17
534,201,17
545,202,17
585,203,17
901,204,17
936,205,17
1078,206,17
1386,207,17
1693,208,17
1742,209,17
73,210,18
77,211,18
254,212,18
390,213,18
465,214,18
692,215,18
717,216,18
1021,217,18
1128,218,18
1156,219,18
1254,220,18
1282,221,18
1328,222,18
1423,223,18
1435,224,18
1471,225,18
323,226,19
375,227,19
432,228,19
444,229,19
524,230,19
527,231,19
537,232,19
611,233,19
681,234,19
854,235,19
889,236,19
1198,237,19
1345,238,19
1387,239,19
70,240,20
90,241,20
221,242,20
498,243,20
599,244,20
613,245,20
666,246,20
971,247,20
1000,248,20
1095,249,20
1111,250,20
1449,251,20
1512,252,20
10,253,21
75,254,21
84,255,21
122,256,21
141,257,21
510,258,21
584,259,21
647,260,21
667,261,21
1072,262,21
1123,263,21
1184,264,21
1333,265,21
1407,266,21
1415,267,21
1519,268,21
1529,269,21
63,270,22
231,271,22
513,272,22
